iter	Passed	Remaining
0	532	2130106
1	1076	2152331
2	1658	2209566
3	2197	2195470
4	2761	2206143
5	3279	2183265
6	3832	2186418
7	4357	2174621
8	4880	2164111
9	5407	2157658
10	5940	2154159
11	6470	2150386
12	6999	2146540
13	7535	2145492
14	8042	2136732
15	8607	2143264
16	9122	2137320
17	9629	2130328
18	10122	2120920
19	10636	2116665
20	11139	2110626
21	11676	2111271
22	12195	2108692
23	12714	2106430
24	13216	2101373
25	13726	2098075
26	14226	2093359
27	14743	2091508
28	15258	2089414
29	15854	2098082
30	16460	2107417
