iter	RMSE
0	0.2398635358
1	0.2378120176
2	0.2359153145
3	0.234256639
4	0.2327833566
5	0.2315832079
6	0.2304408778
7	0.2295012595
8	0.2285480473
9	0.2277200453
10	0.2269995645
11	0.2263259668
12	0.2257255921
13	0.2252205215
14	0.2247468497
15	0.2243585235
16	0.2239785747
17	0.2236326861
18	0.2233596487
19	0.2231133487
20	0.2228830938
21	0.2226837151
22	0.2224783126
23	0.2222584304
24	0.2220647812
25	0.2219210327
26	0.2217872362
27	0.2216570779
28	0.2215565544
29	0.2214498326
30	0.2213736514
31	0.221254794
32	0.2211744818
33	0.2210898212
34	0.2209998382
35	0.2209271078
36	0.2208642844
37	0.2208299919
38	0.220785761
39	0.2207535085
40	0.2206919161
41	0.2206356816
42	0.2205801864
43	0.220526087
44	0.2204900121
45	0.2204258634
46	0.2203989972
47	0.2203651115
48	0.2202997366
49	0.220256902
50	0.2202200023
51	0.2201755122
52	0.220149669
53	0.2201266869
54	0.2201007562
55	0.2200550957
56	0.2200154757
57	0.2199821046
58	0.2199550761
59	0.2199228421
60	0.2198960654
61	0.2198720224
62	0.2198546924
63	0.219815355
64	0.2197892636
65	0.2197577006
66	0.2197454348
67	0.2197276684
68	0.2197168177
69	0.2196923162
70	0.219664469
71	0.2196450175
72	0.2196129236
73	0.2195928876
74	0.2195680572
75	0.2195604285
76	0.2195487692
77	0.2195342361
78	0.2195326571
79	0.219519406
80	0.2194979722
81	0.2194688028
82	0.2194432817
83	0.2194314073
84	0.2194149933
85	0.219385134
86	0.2193677615
87	0.2193589887
88	0.2193469529
89	0.2193377112
90	0.2193272821
91	0.2193003015
92	0.2192833549
93	0.2192744556
94	0.2192584387
95	0.2192348704
96	0.2191975297
97	0.2191932093
98	0.21917885
99	0.2191651306
100	0.219160693
101	0.2191425199
102	0.2191306443
103	0.2191057977
104	0.2190999458
105	0.2190804734
106	0.2190650124
107	0.2190587323
108	0.219051194
109	0.2190233655
110	0.2190086743
111	0.2190015124
112	0.2189824186
113	0.2189687507
114	0.2189574441
115	0.2189383065
116	0.2189218887
117	0.2189097021
118	0.2188958863
119	0.2188909695
120	0.2188795025
121	0.2188562757
122	0.2188338833
123	0.2188194775
124	0.2187931859
125	0.2187827578
126	0.2187720578
127	0.2187556735
128	0.2187481944
129	0.2187178431
130	0.2187058349
131	0.2186786534
132	0.2186743464
133	0.2186500953
134	0.2186226868
135	0.2186138346
136	0.2186116615
137	0.2185965314
138	0.2185885764
139	0.2185760159
140	0.2185723491
141	0.2185568309
142	0.218534822
143	0.2185232752
144	0.2185172839
145	0.2185107242
146	0.2185057527
147	0.2185002001
148	0.2184764526
149	0.2184589987
150	0.2184418102
151	0.2184294308
152	0.218421042
153	0.2184065251
154	0.2183924593
155	0.2183793045
156	0.2183634635
157	0.2183485052
158	0.2183465925
159	0.2183410986
160	0.2183285249
161	0.2183094297
162	0.2182961422
163	0.2182872402
164	0.2182804404
165	0.2182554458
166	0.2182445401
167	0.2182370983
168	0.2182208822
169	0.218209306
170	0.2181966315
171	0.218188326
172	0.2181822696
173	0.2181681396
174	0.2181580096
175	0.2181463034
176	0.2181368135
177	0.2181310978
178	0.2181116918
179	0.2181076332
180	0.2180959714
181	0.2180919193
182	0.2180862612
183	0.2180758342
184	0.2180637049
185	0.218051035
186	0.2180318389
187	0.2180160836
188	0.2180056559
189	0.2179793397
190	0.2179727426
191	0.2179620573
192	0.2179517485
193	0.2179340891
194	0.2179262357
195	0.2179066536
196	0.2179008925
197	0.2178919174
198	0.2178869985
199	0.2178732694
200	0.2178620841
201	0.2178549446
202	0.2178491226
203	0.2178367217
204	0.2178315501
205	0.2178175517
206	0.2178051141
207	0.2177941761
208	0.2177875014
209	0.2177658875
210	0.21775635
211	0.2177418429
212	0.2177368838
213	0.2177167237
214	0.2177099256
215	0.2177039691
216	0.2176961115
217	0.2176833666
218	0.2176674153
219	0.217655082
220	0.2176478748
221	0.2176296459
222	0.2176192874
223	0.2176143158
224	0.217607879
225	0.2175908308
226	0.2175746015
227	0.2175574845
228	0.2175482273
229	0.2175443237
230	0.2175341511
231	0.2175182358
232	0.217505944
233	0.2175005848
234	0.2174964901
235	0.2174827926
236	0.2174691594
237	0.2174566968
238	0.2174468434
239	0.2174413826
240	0.2174355747
241	0.2174281914
242	0.2174206545
243	0.2174155315
244	0.2173989719
245	0.2173924698
246	0.2173792937
247	0.2173675345
248	0.2173580284
249	0.2173460891
250	0.2173410932
251	0.2173306411
252	0.2173171496
253	0.2173120003
254	0.217293726
255	0.2172852189
256	0.2172766523
257	0.2172732136
258	0.2172499059
259	0.217242261
260	0.2172368395
261	0.2172227745
262	0.217215268
263	0.2172067759
264	0.2172023257
265	0.2171887826
266	0.2171824208
267	0.2171788578
268	0.2171677924
269	0.2171593818
270	0.2171578181
271	0.2171526954
272	0.2171395894
273	0.2171329547
274	0.2171276733
275	0.2171189318
276	0.2171139189
277	0.2171073552
278	0.2171013912
279	0.21709737
280	0.2170890162
281	0.2170848934
282	0.2170750542
283	0.2170633265
284	0.2170597551
285	0.2170468588
286	0.2170377982
287	0.2170212101
288	0.2170136437
289	0.2170019161
290	0.2169936634
291	0.2169840768
292	0.2169744119
293	0.2169702231
294	0.216961734
295	0.2169492709
296	0.2169379215
297	0.2169303439
298	0.2169197814
299	0.2169189008
