iter	Passed	Remaining
0	75	37887
1	100	25032
2	124	20622
3	149	18515
4	173	17190
5	198	16318
6	222	15672
7	248	15262
8	272	14869
9	297	14588
10	322	14333
11	347	14118
12	371	13902
13	396	13780
14	421	13641
15	447	13535
16	472	13430
17	498	13338
18	522	13234
19	547	13145
20	573	13084
21	598	13004
22	622	12902
23	648	12869
24	673	12798
25	729	13299
26	756	13259
27	785	13233
28	808	13137
29	835	13086
30	860	13023
31	892	13053
32	966	13672
33	1024	14035
34	1049	13941
35	1076	13874
36	1107	13857
37	1129	13731
38	1153	13629
39	1179	13559
40	1206	13511
41	1237	13493
42	1264	13437
43	1292	13392
44	1318	13327
45	1345	13280
46	1371	13217
47	1396	13154
48	1424	13109
49	1454	13090
50	1481	13046
51	1509	13008
52	1538	12972
53	1579	13048
54	1610	13031
55	1636	12974
56	1665	12940
57	1700	12958
58	1738	12997
59	1765	12943
60	1799	12949
61	1826	12904
62	1853	12858
63	1887	12859
64	1920	12852
65	1949	12818
66	1974	12759
67	2000	12707
68	2027	12664
69	2053	12611
70	2078	12561
71	2105	12517
72	2131	12465
73	2170	12493
74	2211	12534
75	2239	12494
76	2265	12442
77	2291	12396
78	2319	12363
79	2353	12358
80	2380	12312
81	2406	12265
82	2431	12214
83	2456	12165
84	2482	12120
85	2509	12078
86	2533	12027
87	2557	11976
88	2581	11921
89	2605	11870
90	2633	11835
91	2659	11792
92	2697	11806
93	2729	11788
94	2754	11741
95	2779	11697
96	2807	11662
97	2832	11617
98	2858	11578
99	2883	11535
100	2921	11539
101	2946	11497
102	2974	11465
103	3005	11444
104	3031	11402
105	3057	11364
106	3089	11346
107	3111	11293
108	3137	11254
109	3164	11218
110	3192	11186
111	3218	11148
112	3244	11110
113	3268	11067
114	3292	11023
115	3323	11000
116	3351	10969
117	3377	10933
118	3405	10902
119	3429	10860
120	3455	10824
121	3485	10800
122	3514	10773
123	3554	10777
124	3581	10745
125	3606	10705
126	3632	10667
127	3679	10694
128	3720	10699
129	3753	10682
130	3777	10640
131	3803	10603
132	3826	10557
133	3851	10518
134	3880	10492
135	3915	10479
136	3941	10444
137	3967	10406
138	3992	10368
139	4030	10363
140	4070	10363
141	4096	10328
142	4123	10294
143	4149	10259
144	4174	10219
145	4201	10187
146	4229	10155
147	4261	10136
148	4288	10101
149	4315	10070
150	4343	10039
151	4368	10001
152	4391	9960
153	4418	9926
154	4441	9885
155	4466	9848
156	4492	9814
157	4518	9780
158	4542	9741
159	4569	9710
160	4596	9677
161	4620	9640
162	4645	9604
163	4682	9594
164	4726	9595
165	4751	9559
166	4784	9540
167	4832	9549
168	4871	9541
169	4897	9505
170	4948	9520
171	5016	9565
172	5044	9535
173	5071	9501
174	5096	9465
175	5121	9427
176	5149	9397
177	5180	9370
178	5206	9336
179	5231	9300
180	5257	9266
181	5283	9230
182	5313	9205
183	5332	9158
184	5352	9114
185	5374	9073
186	5394	9029
187	5413	8984
188	5436	8946
189	5458	8906
190	5478	8862
191	5498	8820
192	5521	8782
193	5544	8745
194	5564	8703
195	5585	8663
196	5607	8624
197	5626	8581
198	5664	8567
199	5706	8559
200	5734	8530
201	5761	8500
202	5789	8471
203	5816	8439
204	5842	8406
205	5874	8383
206	5899	8350
207	5933	8329
208	5956	8293
209	5975	8252
210	5995	8212
211	6016	8173
212	6040	8139
213	6067	8108
214	6094	8078
215	6121	8048
216	6148	8019
217	6171	7983
218	6195	7949
219	6234	7934
220	6276	7923
221	6302	7892
222	6328	7860
223	6355	7830
224	6380	7798
225	6405	7766
226	6431	7735
227	6456	7702
228	6484	7673
229	6504	7635
230	6523	7596
231	6543	7559
232	6563	7520
233	6582	7483
234	6602	7445
235	6621	7406
